Time,Cell Name,Value
155.40478735351562, C000, 26.51723
156.20405126953125, C000, 21.37441
156.80349926757813, C000, 27.51649
223.44213525390626, C000, 30.40265
317.6553793945312, C000, 15.40224
377.30045532226563, C000, 32.3729
377.9998115234375, C000, 25.79211
420.06107934570315, C000, 24.32002
424.9565712890625, C000, 166.1899
551.0404672851563, C000, 106.5338
552.9387192382812, C000, 157.5347
559.5326474609375, C000, 52.08076
562.5298872070313, C000, 139.3046
570.4226193847657, C000, 100.8517
574.6187553710937, C000, 25.91556
592.9019194335938, C000, 51.40989
628.8687993164062, C000, 29.38813
646.8522395019531, C000, 73.23453
665.1354033203125, C000, 74.14531
683.8181994628907, C000, 179.0086
705.4982353515625, C000, 27.61179
732.3734873046875, C000, 81.99986
763.2450593261718, C000, 57.26804
765.6428513183594, C000, 38.32688
777.7317192382812, C000, 32.45739
811.9002551269531, C000, 53.26272
817.5950112304688, C000, 74.12675
982.3433032226562, C000, 33.5497
985.2406354980469, C000, 114.9846
989.2369553222657, C000, 33.85611
990.2360354003906, C000, 15.48376
1010.3175432128907, C000, 30.7334
1032.3972114257813, C000, 67.17388
1035.2945432128906, C000, 120.3806
1039.0910473632812, C000, 89.36636
1063.168874267578, C000, 78.65164
1082.8507514648438, C000, 38.97509
1094.8397111816407, C000, 39.63599
1102.132995361328, C000, 33.51842
1136.8010715332032, C000, 24.41417
1150.9880073242186, C000, 23.14654
1158.1813833007814, C000, 44.65472
1163.0768752441406, C000, 21.69253
1183.9576474609376, C000, 22.99059
1199.9429274902343, C000, 15.75543
1207.43602734375, C000, 22.73547
1207.835659423828, C000, 25.87529
1229.8154191894532, C000, 90.50214
1232.0133952636718, C000, 137.176
1237.4084272460937, C000, 25.94937
1275.0737434082032, C000, 108.3516
1297.4531352539063, C000, 17.95566
1302.44853515625, C000, 32.13136
1312.5392431640626, C000, 18.33436
1321.8306872558594, C000, 54.35276
1324.7280192871094, C000, 52.75747
1329.3237873535156, C000, 82.62963
1336.217439453125, C000, 160.3465
1337.116611328125, C000, 54.25273
1363.99186328125, C000, 127.0397
1365.0908513183595, C000, 59.89133
1380.077051513672, C000, 76.77455
1449.1134794921875, C000, 14.70238
1466.3975632324218, C000, 20.35138
1509.2580952148437, C000, 22.1965
1566.5053791503906, C000, 58.76022
1585.3879912109376, C000, 164.5636
1611.0643474121093, C000, 14.80827
1616.259563232422, C000, 17.64224
1622.853491455078, C000, 19.91611
1652.6260751953125, C000, 49.21404
1656.2227634277344, C000, 54.04773
1671.4087795410155, C000, 63.23173
1685.895439453125, C000, 15.77905
1713.2702312011718, C000, 41.89917
1715.8678393554687, C000, 144.4609
1721.1629633789062, C000, 62.62893
1771.616503173828, C000, 107.5009
1785.70353125, C000, 37.8162
1822.869307373047, C000, 51.3064
1823.8683872070312, C000, 83.90172
25.424479248046875, C001, 59.50122
26.623375244140625, C001, 91.33738
53.79835131835937, C001, 74.0268
191.27175927734376, C001, 69.4996
192.07102319335937, C001, 58.03104
262.0066232910156, C001, 19.01128
266.002943359375, C001, 187.7799
305.46660327148436, C001, 105.0695
364.7120473632813, C001, 85.59322
368.00901123046873, C001, 78.90033
368.7083674316406, C001, 54.70472
371.30597534179685, C001, 27.14805
395.98325146484376, C001, 17.3362
425.456111328125, C001, 13.0098
468.71627514648435, C001, 32.0524
469.31572314453126, C001, 14.9337
473.3120432128906, C001, 105.1984
505.98195947265623, C001, 14.71809
629.1685234375, C001, 11.57258
629.8678793945312, C001, 21.59702
763.5447834472657, C001, 22.07257
846.3685153808593, C001, 16.70907
877.939443359375, C001, 57.0119
916.0043911132813, C001, 12.30656
977.2479953613281, C001, 80.93731
1035.1946342773438, C001, 125.7212
1046.084607421875, C001, 13.037
1051.6794553222655, C001, 16.87508
1083.4501994628906, C001, 98.00641
1138.9990473632813, C001, 44.28462
1158.2812912597656, C001, 12.55221
1190.8512993164063, C001, 35.21408
1200.3425593261718, C001, 11.91519
1251.0958232421874, C001, 99.05887
1287.7620593261718, C001, 134.0471
1348.006583251953, C001, 61.28037
1392.3657353515625, C001, 39.1927
1394.2639873046876, C001, 167.7105
1477.1876274414062, C001, 48.37746
1557.11402734375, C001, 27.24584
1575.1973752441406, C001, 22.35197
1593.4805393066406, C001, 97.22475
1621.5546872558593, C001, 46.6011
1621.9543193359375, C001, 51.08611
1735.1500832519532, C001, 18.53399
1750.0363752441406, C001, 44.36654
1797.592583251953, C001, 10.98494
72.3812392578125, C002, 29.33694
84.27029125976563, C002, 50.61969
113.94296728515624, C002, 46.16239
154.6055234375, C002, 113.7542
207.65667138671876, C002, 17.94633
226.63919140625, C002, 148.5417
241.72529931640625, C002, 60.39494
249.31830737304688, C002, 33.03613
268.3008273925781, C002, 22.76044
293.3777353515625, C002, 24.38706
294.97626342773435, C002, 30.33144
320.75252734375, C002, 101.9682
329.344615234375, C002, 122.135
376.90082348632814, C002, 49.95353
393.5854592285156, C002, 161.4655
424.45703125, C002, 121.4089
425.2562951660156, C002, 30.76934
431.9501311035156, C002, 61.9048
436.1462673339844, C002, 22.15063
489.69695532226564, C002, 43.2401
495.29180346679686, C002, 82.70816
495.79134326171874, C002, 58.18922
522.466779296875, C002, 73.36708
559.3328315429687, C002, 56.539
559.8323713378907, C002, 57.05774
563.1293354492187, C002, 84.16998
625.9714672851562, C002, 64.9948
665.0354953613281, C002, 53.1537
683.1188432617188, C002, 90.54163
705.8978671875, C002, 50.01829
708.895107421875, C002, 123.3327
730.8748671875, C002, 129.4678
764.2441391601562, C002, 67.12598
773.6354914550782, C002, 81.4451
791.3192072753907, C002, 37.1637
827.3859953613281, C002, 39.60208
882.4353032226562, C002, 14.87679
897.3215952148438, C002, 53.93418
924.7962954101563, C002, 28.08385
928.4928913574219, C002, 14.11995
996.3304233398437, C002, 80.06571
1036.093807373047, C002, 45.5803
1067.9644592285156, C002, 42.39156
